,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,nsubj,0.6811170515509585,2.469591448501676e-05,0.7260812618812912,3.776627430606678e-06
1,nsubjpass,0.5685448843745226,0.0008468267720565573,0.6511211832769301,7.286496866475342e-05
2,dobj,0.5018651099201705,0.004019891580740325,0.5901804647393889,0.0004745935066873364
3,pobj,0.6056451612903225,0.00030579436476928614,0.660483870967742,5.265077137319616e-05
4,(nsubj+nsubjpass),0.6774193548387097,2.840800422472819e-05,0.7229838709677421,4.347668072764423e-06
5,(nsubj+dobj),0.6685483870967742,3.9437917338212684e-05,0.7245967741935485,4.041231998048958e-06
6,(nsubj+pobj),0.6633064516129032,4.76329758205458e-05,0.7032258064516129,1.0237014596489812e-05
7,(nsubjpass+dobj),0.5157778028026501,0.0029796464222232237,0.606311123153858,0.0002999078380601761
8,(nsubjpass+pobj),0.6088709677419356,0.00027820461487016747,0.6645161290322581,4.561704970003301e-05
9,(dobj+pobj),0.5991935483870968,0.00036834126721738066,0.6697580645161292,3.773672898963305e-05
10,combination1nsubj/nsubjpass,0.6221774193548388,0.0001862861117317046,0.5189516129032259,0.0027779938609010456
11,combination2nsubj/dobj,0.7391129032258066,2.044642955985308e-06,0.6193548387096776,0.00020313634910574974
12,combination3nsubj/pobj,0.7044354838709678,9.733343346378069e-06,0.7048387096774194,9.570494620963599e-06
13,combination4nsubj/(dobj+pobj),0.7387096774193549,2.084945623988968e-06,0.7016129032258065,1.0945163133235452e-05
14,combination5nsubj/(nsubjpass+dobj),0.772983870967742,3.458340919757739e-07,0.6665322580645162,4.242666653452163e-05
15,combination6nsubj/(nsubjpass+pobj),0.7129032258064517,6.789174788259863e-06,0.7044354838709678,9.733343346378069e-06
16,combination7nsubj/(nsubj+pobj),0.7044354838709678,9.733343346378069e-06,0.7048387096774194,9.570494620963599e-06
17,combination8nsubj/(nsubj+dobj),0.7391129032258066,2.044642955985308e-06,0.6193548387096776,0.00020313634910574974
18,combination9nsubj/(nsubj+nsubjpass),0.6221774193548388,0.0001862861117317046,0.5189516129032259,0.0027779938609010456
19,combination10nsubjpass/nsubj,-0.6221774193548388,0.0001862861117317046,-0.5189516129032259,0.0027779938609010456
20,combination11nsubjpass/dobj,0.21957858766696084,0.23527728952704852,0.23369291377962137,0.2057693845133961
21,combination12nsubjpass/pobj,0.17056451612903226,0.3589410837099465,0.3310483870967742,0.06889074329695447
22,combination13nsubjpass/(dobj+pobj),0.20322580645161292,0.27285701338158,0.3004032258064516,0.10058618694746227
23,combination14nsubjpass/(nsubjpass+dobj),0.21957858766696084,0.23527728952704852,0.23369291377962137,0.2057693845133961
24,combination15nsubjpass/(nsubjpass+pobj),0.17056451612903226,0.3589410837099465,0.3310483870967742,0.06889074329695447
25,combination16nsubjpass/(nsubj+pobj),-0.46129032258064523,0.00900264520269875,-0.3165322580645162,0.0827623321675542
26,combination17nsubjpass/(nsubj+dobj),-0.5064516129032258,0.0036470067711554836,-0.4056451612903226,0.02357092363085513
27,combination18nsubjpass/(nsubj+nsubjpass),-0.6221774193548388,0.0001862861117317046,-0.5189516129032259,0.0027779938609010456
28,combination19dobj/nsubj,-0.7391129032258066,2.044642955985308e-06,-0.6193548387096776,0.00020313634910574974
29,combination20dobj/nsubjpass,-0.21957858766696084,0.23527728952704852,-0.23369291377962137,0.2057693845133961
30,combination21dobj/pobj,-0.08790322580645162,0.6381950172756905,-0.01088709677419355,0.9536471583154608
31,combination22dobj/(dobj+pobj),-0.08790322580645162,0.6381950172756905,-0.01088709677419355,0.9536471583154608
32,combination23dobj/(nsubjpass+dobj),-0.21957858766696084,0.23527728952704852,-0.23369291377962137,0.2057693845133961
33,combination24dobj/(nsubjpass+pobj),-0.08911290322580646,0.6335610242106571,-0.014919354838709679,0.9365091612774601
34,combination25dobj/(nsubj+pobj),-0.5963709677419355,0.0003990905095940342,-0.46491935483870966,0.0084084063122846
35,combination26dobj/(nsubj+dobj),-0.7391129032258066,2.044642955985308e-06,-0.6193548387096776,0.00020313634910574974
36,combination27dobj/(nsubj+nsubjpass),-0.7322580645161291,2.835886431461313e-06,-0.614516129032258,0.0002351926169471539
37,combination28pobj/nsubj,-0.7044354838709678,9.733343346378069e-06,-0.7048387096774194,9.570494620963599e-06
38,combination29pobj/nsubjpass,-0.17056451612903226,0.3589410837099465,-0.3310483870967742,0.06889074329695447
39,combination30pobj/dobj,0.08790322580645162,0.6381950172756905,0.01088709677419355,0.9536471583154608
40,combination31pobj/(dobj+pobj),0.08790322580645162,0.6381950172756905,0.01088709677419355,0.9536471583154608
41,combination32pobj/(nsubjpass+dobj),0.058467741935483875,0.754718024894828,-0.031854838709677424,0.8649199545149776
42,combination33pobj/(nsubjpass+pobj),-0.17056451612903226,0.3589410837099465,-0.3310483870967742,0.06889074329695447
