,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,nsubj,0.3657240540157518,1.7298150796449602e-09,0.26220797366715026,2.2253420367855026e-05
1,nsubjpass,0.21582881365211457,0.0005193545564074655,0.12589181543782907,0.04459530278635716
2,dobj,0.06794079018656382,0.279765407954935,-0.025197272945316276,0.6888214815424658
3,pobj,0.14609257918853763,0.01959646444941829,0.03619391109903282,0.5650753308082055
4,(nsubj+nsubjpass),0.3531168920627813,6.670867763454823e-09,0.24985534591618042,5.4732620577060216e-05
5,(nsubj+dobj),0.19824736874012414,0.001463412205411733,0.09989954771268136,0.11151650740006985
6,(nsubj+pobj),0.219005438376548,0.000426823765278842,0.10885892134235366,0.0827485068580187
7,(nsubjpass+dobj),0.07566415288838779,0.22857019613348817,-0.017559070461781335,0.7802142924557208
8,(nsubjpass+pobj),0.15104438909335052,0.01577841607501911,0.04146745554451863,0.5097593560615352
9,(dobj+pobj),0.12317799843907251,0.04943511861370011,0.011369771508145617,0.8566230645270798
10,combination1nsubj/nsubjpass,0.39799945360308336,4.140824519901301e-11,0.34098029524479045,2.3157805286844116e-08
11,combination2nsubj/dobj,0.6518262778915418,3.113355044987955e-32,0.608960469199422,2.860367499413906e-27
12,combination3nsubj/pobj,0.5127031966874095,1.6988855621483736e-18,0.5034425347999038,8.604950672319139e-18
13,combination4nsubj/(dobj+pobj),0.5866687702652392,5.64428519542983e-25,0.5756377515252394,6.658236894347421e-24
14,combination5nsubj/(nsubjpass+dobj),0.6563718104038908,8.303776029860843e-33,0.6099606841287273,2.2344082602426087e-27
15,combination6nsubj/(nsubjpass+pobj),0.516958737174185,7.927389935928401e-19,0.5061277926612038,5.403102703593902e-18
16,combination7nsubj/(nsubj+pobj),0.5127031966874095,1.6988855621483736e-18,0.5034425347999038,8.604950672319139e-18
17,combination8nsubj/(nsubj+dobj),0.6518262778915418,3.113355044987955e-32,0.608960469199422,2.860367499413906e-27
18,combination9nsubj/(nsubj+nsubjpass),0.39799945360308336,4.140824519901301e-11,0.34098029524479045,2.3157805286844116e-08
19,combination10nsubjpass/nsubj,-0.39799945360308336,4.140824519901301e-11,-0.34098029524479045,2.3157805286844116e-08
20,combination11nsubjpass/dobj,0.36314025506903613,2.2920492145862286e-09,0.36292363290710045,2.3465064792290627e-09
21,combination12nsubjpass/pobj,0.19269675952331608,0.001994681373837603,0.25122977573479294,4.9628258667428703e-05
22,combination13nsubjpass/(dobj+pobj),0.28028114200244536,5.489044858094746e-06,0.3334264515082469,4.893583082919692e-08
23,combination14nsubjpass/(nsubjpass+dobj),0.36314025506903613,2.2920492145862286e-09,0.36292363290710045,2.3465064792290627e-09
24,combination15nsubjpass/(nsubjpass+pobj),0.19269675952331608,0.001994681373837603,0.25122977573479294,4.9628258667428703e-05
25,combination16nsubjpass/(nsubj+pobj),-0.000822503522689351,0.9895721048838573,0.06255968399643688,0.3197046812468117
26,combination17nsubjpass/(nsubj+dobj),0.04341975779736673,0.4900199785524767,0.06573016458603678,0.2957453586207629
27,combination18nsubjpass/(nsubj+nsubjpass),-0.39799945360308336,4.140824519901301e-11,-0.34098029524479045,2.3157805286844116e-08
28,combination19dobj/nsubj,-0.6518262778915418,3.113355044987955e-32,-0.608960469199422,2.860367499413906e-27
29,combination20dobj/nsubjpass,-0.36314025506903613,2.2920492145862286e-09,-0.36292363290710045,2.3465064792290627e-09
30,combination21dobj/pobj,-0.25697209137050914,3.276967470590367e-05,-0.22536282570368232,0.0002857856451103231
31,combination22dobj/(dobj+pobj),-0.25697209137050914,3.276967470590367e-05,-0.22536282570368232,0.0002857856451103231
32,combination23dobj/(nsubjpass+dobj),-0.36314025506903613,2.2920492145862286e-09,-0.36292363290710045,2.3465064792290627e-09
33,combination24dobj/(nsubjpass+pobj),-0.2660725445148338,1.6635912237890532e-05,-0.23722804572148048,0.00013111698579610877
34,combination25dobj/(nsubj+pobj),-0.4221716103688476,1.918313312754678e-12,-0.38884102311729807,1.244921156475516e-10
