,Unnamed: 0,word,agency,patiency,diff_,sum_,ratio_,prod_,nsubj,nsubjpass,dobj,pobj
0,0,infant,4.393000000000002,7.272499999999999,-2.8794999999999984,11.6655,0.6040563767617739,31.9480925,44.717791946974636,13.84122131692072,70.27081591667442,110.72977053536576
1,1,baby,4.7095,7.586,-2.8765,12.2955,0.6208146585815977,35.726267,201.23006376138585,20.22947730934567,236.36547171972308,242.75372771214802
2,2,puppy,4.7415,7.0175,-2.276,11.759,0.6756679729248308,33.27347625,6.388255992424948,0.0,3.194127996212474,10.647093320708247
3,3,fetus,3.6155,5.366000000000001,-1.7505000000000015,8.9815,0.6737793514722323,19.400773000000004,0.0,0.0,0.0,0.0
4,4,kitten,4.618500000000001,6.583499999999999,-1.9649999999999976,11.202,0.701526543631807,30.40589475,13.84122131692072,0.0,20.22947730934567,40.45895461869134
5,5,rabbit,4.231499999999999,5.947,-1.7155000000000014,10.1785,0.7115352278459726,25.164730499999997,13.84122131692072,0.0,15.97063998106237,28.747151965912266
6,6,worm,3.2270000000000003,4.5465,-1.3194999999999997,7.7735,0.7097767513471902,14.671555500000002,59.62372259596618,11.711802652779072,48.976629275257935,170.35349313133196
7,7,pig,4.4255,6.1795,-1.7539999999999996,10.605,0.7161582652318149,27.34737725,72.40023458081608,12.776511984849895,83.04732790152433,125.63570118435732
8,8,mouse,4.148999999999999,5.770499999999998,-1.6215000000000002,9.9195,0.719001819599688,23.9418045,54.30017593561206,1.0647093320708247,30.876570630053916,70.27081591667442
9,9,lamb,4.3115000000000006,5.985999999999999,-1.6744999999999983,10.2975,0.7202639492148348,25.808639000000003,61.75314126010783,8.517674656566598,72.40023458081608,139.47692250127804
10,10,sheep,4.12,5.721,-1.601,9.841,0.7201538192623668,23.57052,71.33552524874526,15.97063998106237,79.85319990531185,228.9125063952273
11,11,sail,3.3880000000000003,4.585000000000001,-1.1970000000000005,7.973000000000001,0.7389312977099236,15.533980000000003,136.28279450506557,52.17075727147041,301.31274097604336,309.83041563260997
12,12,pigeon,3.9635000000000007,5.391,-1.427499999999999,9.354500000000002,0.7352068261918012,21.367228500000003,35.13540795833721,5.323546660354124,13.84122131692072,35.13540795833721
13,13,beetle,3.478,4.632999999999999,-1.154999999999999,8.110999999999999,0.7507014893157783,16.113573999999996,27.68244263384144,3.194127996212474,3.194127996212474,64.94726925632031
14,14,fox,4.7505000000000015,6.359499999999999,-1.6089999999999982,11.11,0.7469926881044109,30.21080475,76.65907190909938,3.194127996212474,27.68244263384144,87.30616522980762
15,15,cow,4.614,6.2665,-1.6525,10.8805,0.7362961780898428,28.913631,70.27081591667442,10.647093320708247,73.46494391288691,152.25343448612793
16,16,chimpanzee,5.457999999999999,7.2535,-1.7954999999999997,12.7115,0.7524643275660027,39.589603,0.0,0.0,0.0,5.323546660354124
17,17,fly,3.3650000000000007,4.421999999999999,-1.0569999999999982,7.786999999999999,0.7609678878335598,14.88003,113.92389853157825,9.582383988637423,72.40023458081608,185.2594237803235
18,18,rate,4.2585000000000015,5.71,-1.4514999999999991,9.9685,0.7457968476357271,24.316035000000007,70.27081591667442,20.22947730934567,130.95924784471143,934.8147935581841
19,19,frog,4.1655,5.5275000000000025,-1.362000000000002,9.693,0.7535956580732698,23.02480125000001,33.005989294195565,1.0647093320708247,45.78250127904546,56.429594599753706
20,20,chicken,4.284000000000002,5.6545,-1.3704999999999992,9.9385,0.7576266690246708,24.223878000000006,33.005989294195565,4.258837328283299,66.01197858839113,77.7237812411702
21,21,slaves,6.053999999999999,7.822999999999999,-1.769,13.877,0.7738719161447015,47.360442000000006,1.0647093320708247,1.0647093320708247,1.0647093320708247,2.1294186641416495
22,22,turkey,4.246500000000001,5.542000000000002,-1.2954999999999997,9.788500000000004,0.7662396246842296,23.53410300000001,20.22947730934567,5.323546660354124,54.30017593561206,94.7591305543034
23,23,cat,5.271500000000001,6.8675,-1.5959999999999983,12.139,0.7676010192937752,36.20202625000001,97.95325855051587,7.452965324495772,95.82383988637422,160.7711091426945
24,24,bird,4.7635,6.1960000000000015,-1.432500000000001,10.9595,0.7688024531956099,29.514646000000003,435.4661168169673,29.81186129798309,190.58297044067763,672.8962978687612
25,25,horse,4.984499999999999,6.590499999999999,-1.606,11.574999999999998,0.7563159092633336,32.850347249999984,724.0023458081607,142.6710504974905,1187.1509052589695,1343.6631770733807
26,26,fish,4.046,5.2065,-1.1605,9.2525,0.777105541150485,21.06549900000001,138.4122131692072,23.423605305558144,145.86517849370298,307.7009969684683
27,27,goat,4.5360000000000005,5.935500000000001,-1.3995000000000006,10.471500000000002,0.7642153146322971,26.92342800000001,15.97063998106237,0.0,8.517674656566598,50.04133860732876
28,28,elephant,5.440499999999999,7.027000000000001,-1.5865000000000018,12.4675,0.7742279777999144,38.2303935,26.617733301770617,1.0647093320708247,20.22947730934567,78.78849057324102
29,29,monkey,5.5470000000000015,7.1095,-1.5624999999999991,12.6565,0.7802236444194389,39.4363965,22.358895973487318,3.194127996212474,15.97063998106237,53.235466603541234
30,30,ant,3.902,4.8435,-0.9414999999999996,8.7455,0.8056157737173533,18.899337,22.358895973487318,4.258837328283299,5.323546660354124,58.55901326389536
31,31,fowl,4.296,5.331,-1.035,9.627,0.8058525604952167,22.901976000000005,20.22947730934567,3.194127996212474,27.68244263384144,80.91790923738267
32,32,snake,4.5070000000000014,5.5725,-1.0654999999999992,10.0795,0.8087931807985645,25.1152575,42.58837328283299,2.1294186641416495,41.52366395076216,100.08267721465752
