,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
57,combination53(nsubjpass+dobj)/(nsubj+dobj),-0.6595134603889101,3.286652159522961e-33,-0.6271071443433452,2.8154428811821655e-29
58,combination54(nsubjpass+dobj)/(nsubj+nsubjpass),-0.6443065123174563,2.638851857419224e-31,-0.6219609367197846,1.0765334851873857e-28
59,combination55(nsubjpass+pobj)/nsubj,-0.5280891009053187,1.025755433085569e-19,-0.5363917543495225,2.1230916787241208e-20
60,combination56(nsubjpass+pobj)/nsubjpass,-0.2520652596540691,4.67482901784614e-05,-0.3139090871096262,3.0870902075287084e-07
61,combination57(nsubjpass+pobj)/dobj,0.2900919427390685,2.4609481754987025e-06,0.25537897874545123,3.6805014715294566e-05
62,combination58(nsubjpass+pobj)/pobj,0.2520652596540691,4.67482901784614e-05,0.3139090871096262,3.0870902075287084e-07
63,combination59(nsubjpass+pobj)/(dobj+pobj),0.3089703052413829,4.820803677192067e-07,0.27666013995940686,7.324542869699049e-06
64,combination60(nsubjpass+pobj)/(nsubjpass+dobj),0.27016737551594583,1.2162523976519115e-05,0.2342910687492111,0.0001596021831298399
65,combination61(nsubjpass+pobj)/(nsubj+pobj),-0.5321637130643246,4.7607901641964147e-20,-0.5345655554137669,3.013375831182261e-20
66,combination62(nsubjpass+pobj)/(nsubj+dobj),-0.17136201030716317,0.006082345108969567,-0.1926881578800273,0.001995626243009866
67,combination63(nsubjpass+pobj)/(nsubj+nsubjpass),-0.5225984800882111,2.839315732313516e-19,-0.5372803363253654,1.789097409595134e-20
68,combination64(nsubj+pobj)/nsubj,-0.5273443980925818,1.1789282896180147e-19,-0.5378706666415567,1.5963499903031202e-20
69,combination65(nsubj+pobj)/nsubjpass,-0.053020842643631286,0.3991678120603489,-0.12794606580892715,0.0412016786599799
70,combination66(nsubj+pobj)/dobj,0.4411648485734777,1.4362614275992126e-13,0.40731394089498807,1.3050525103099244e-11
71,combination67(nsubj+pobj)/pobj,0.5273443980925818,1.1789282896180147e-19,0.5378706666415567,1.5963499903031202e-20
72,combination68(nsubj+pobj)/(dobj+pobj),0.5968646842294383,5.296610696686526e-26,0.5793278238071803,2.9468011068753685e-24
73,combination69(nsubj+pobj)/(nsubjpass+dobj),0.4319531177204485,5.151957116733774e-13,0.3956310736701449,5.522345616493035e-11
74,combination70(nsubj+pobj)/(nsubjpass+pobj),0.5321637130643246,4.7607901641964147e-20,0.5345655554137669,3.013375831182261e-20
75,combination71(nsubj+pobj)/(nsubj+dobj),0.11624168903550512,0.06382520278506455,0.09491311253018118,0.13063339225078568
76,combination72(nsubj+pobj)/(nsubj+nsubjpass),-0.5145560944825697,1.2206705682800948e-18,-0.5334148720017803,3.753263720161428e-20
77,combination73(nsubj+dobj)/nsubj,-0.6502484516102377,4.899620867700378e-32,-0.6243834392069519,5.743593889223424e-29
78,combination74(nsubj+dobj)/nsubjpass,-0.09853854734048344,0.11650217846681866,-0.12112827985649778,0.05337438812130438
79,combination75(nsubj+dobj)/dobj,0.6502484516102377,4.899620867700378e-32,0.6243834392069519,5.743593889223424e-29
80,combination76(nsubj+dobj)/pobj,0.1810362405752209,0.0037230638908995186,0.2026529594982587,0.001137767259329454
81,combination77(nsubj+dobj)/(dobj+pobj),0.39506382806266194,5.914580347189103e-11,0.4139022846612847,5.641989037813365e-12
82,combination78(nsubj+dobj)/(nsubjpass+dobj),0.6595134603889101,3.286652159522961e-33,0.6271071443433452,2.8154428811821655e-29
83,combination79(nsubj+dobj)/(nsubjpass+pobj),0.17136201030716317,0.006082345108969567,0.1926881578800273,0.001995626243009866
84,combination80(nsubj+dobj)/(nsubj+pobj),-0.11624168903550512,0.06382520278506455,-0.09491311253018118,0.13063339225078568
85,combination81(nsubj+dobj)/(nsubj+nsubjpass),-0.629743795724119,1.4024107011276876e-29,-0.6082579930317938,3.4003666002112685e-27
86,combination82(nsubj+nsubjpass)/nsubj,-0.3931393671693157,7.45769378841105e-11,-0.3498528137297851,9.371661287885282e-09
87,combination83(nsubj+nsubjpass)/nsubjpass,0.3931393671693157,7.45769378841105e-11,0.3498528137297851,9.371661287885282e-09
88,combination84(nsubj+nsubjpass)/dobj,0.6372833468065398,1.841266378141584e-30,0.6152478888316755,5.967632860161059e-28
89,combination85(nsubj+nsubjpass)/pobj,0.5206322233588575,4.0702518256105667e-19,0.5365736981439937,2.0500573632924698e-20
90,combination86(nsubj+nsubjpass)/(dobj+pobj),0.5830136472761942,1.2919538043864475e-24,0.5969356083327407,5.208604096836873e-26
91,combination87(nsubj+nsubjpass)/(nsubjpass+dobj),0.6443065123174563,2.638851857419224e-31,0.6219609367197846,1.0765334851873857e-28
92,combination88(nsubj+nsubjpass)/(nsubjpass+pobj),0.5225984800882111,2.839315732313516e-19,0.5372803363253654,1.789097409595134e-20
93,combination89(nsubj+nsubjpass)/(nsubj+pobj),0.5145560944825697,1.2206705682800948e-18,0.5334148720017803,3.753263720161428e-20
94,combination90(nsubj+nsubjpass)/(nsubj+dobj),0.629743795724119,1.4024107011276876e-29,0.6082579930317938,3.4003666002112685e-27
95,combination(nsubjpass+dobj)/(all),-0.4319531177204485,5.151957116733774e-13,-0.3956310736701449,5.522345616493035e-11
